# 25 25
154 149 164 146 149 147 140 138 169 214 207 213 246 257 279 349 472 411 379 369 327 291 236 167 240
163 161 170 146 148 145 138 142 192 246 241 245 231 240 266 304 383 405 417 355 261 208 175 173 270
167 178 173 145 144 143 139 146 220 285 279 276 259 260 266 277 295 308 318 302 235 267 205 183 260
173 206 177 141 139 141 140 144 199 286 317 333 314 306 355 387 331 291 279 239 232 292 202 286 334
182 218 156 140 142 146 153 150 187 246 310 366 400 385 436 463 415 331 286 240 257 282 199 306 382
180 173 145 144 151 201 163 175 213 269 371 416 458 514 484 391 387 383 357 266 266 306 222 241 304
182 150 154 151 213 225 190 159 233 291 403 509 532 705 563 391 338 321 298 252 261 299 251 255 280
191 156 177 184 230 251 233 163 215 323 432 582 699 709 532 430 358 314 277 253 264 282 246 272 301
170 165 214 224 199 233 252 185 208 292 420 596 797 670 497 473 383 320 281 274 276 304 275 247 273
198 179 182 222 231 220 249 188 225 278 414 627 668 673 653 495 424 376 379 332 319 348 322 264 298
234 220 192 193 222 255 254 233 204 246 322 448 514 624 674 596 507 373 395 416 414 393 322 295 310
282 280 242 215 208 230 273 293 230 193 271 408 525 644 595 521 465 357 399 498 471 404 328 327 317
298 326 315 268 245 225 244 288 282 211 232 381 624 688 542 431 396 353 387 496 528 457 348 314 283
296 329 366 312 317 259 248 281 302 298 247 329 443 526 556 471 454 378 367 501 569 525 377 332 259
340 374 377 361 394 307 256 302 326 359 311 262 283 391 435 455 451 391 362 457 522 482 376 428 293
333 418 437 444 475 368 305 310 346 419 404 319 316 287 318 403 488 405 369 437 459 362 319 371 327
355 389 471 532 478 361 406 381 392 433 424 387 330 369 347 322 389 380 359 371 381 313 255 263 256
420 463 460 506 414 442 481 438 551 510 454 449 388 386 404 366 338 329 339 324 307 274 319 283 274
453 599 619 562 437 476 542 441 629 647 555 447 404 495 397 381 358 340 299 291 338 345 409 413 362
453 567 708 687 502 495 595 535 654 707 612 490 440 547 520 453 355 319 330 385 431 377 485 483 417
467 540 610 709 686 606 652 559 572 628 626 448 393 466 532 418 366 326 312 342 411 412 447 459 408
450 558 566 717 805 694 650 636 447 543 593 554 389 381 455 394 327 310 311 317 326 348 348 342 345
356 429 558 685 642 542 534 561 385 441 511 619 459 326 331 324 314 316 318 334 350 369 376 379 336
269 356 521 567 387 388 419 381 363 383 422 494 411 328 328 327 352 347 351 412 439 357 328 336 354
221 274 329 333 269 380 458 525 407 366 368 368 410 452 399 397 373 382 419 418 461 421 388 353 327
