# 25 25
404 432 467 499 447 423 451 578 605 682 896 1035 1077 1062 655 743 1069 1188 1233 1259 1247 1020 1238 1302 1255
370 394 423 441 435 417 424 495 632 764 983 880 942 967 655 658 859 997 1039 1076 1267 1054 1245 1257 1166
355 361 397 446 423 415 408 459 741 837 937 782 814 845 670 634 735 812 904 1060 1118 1021 1299 1290 1156
357 355 374 435 418 416 397 419 567 782 729 691 817 813 681 623 687 781 867 954 917 1126 1160 1238 1235
391 365 358 364 385 430 397 397 435 599 615 741 913 857 697 608 679 790 842 813 911 1098 1035 1093 1131
409 402 369 354 361 396 393 397 400 437 553 763 842 930 706 587 664 769 759 717 916 1012 901 948 1088
442 427 386 373 356 366 383 410 405 410 450 604 793 850 732 602 638 771 653 730 860 854 779 864 959
497 478 430 385 363 358 364 399 426 421 423 474 635 683 697 546 540 599 592 784 776 729 697 764 930
550 584 548 416 381 375 361 356 390 408 462 420 500 514 536 476 482 502 548 601 688 669 660 720 811
561 551 515 468 407 377 375 375 359 356 410 409 397 415 442 444 453 478 503 519 551 560 568 609 654
614 580 523 498 448 377 367 365 413 390 395 496 400 447 442 424 439 456 469 475 489 519 514 526 580
714 626 593 623 562 448 365 348 357 391 356 396 381 427 428 410 431 442 456 458 452 456 463 475 527
725 656 721 680 710 586 456 387 355 359 348 348 358 376 386 400 421 436 448 459 467 478 509 552 516
756 759 784 778 839 718 587 524 422 402 406 350 350 361 374 397 429 439 451 470 485 528 594 693 684
724 788 813 840 899 783 703 642 529 522 571 387 346 354 366 413 441 459 451 473 515 610 756 824 808
716 751 771 760 920 866 743 714 648 601 522 362 348 355 353 415 464 510 485 572 664 753 773 715 693
731 732 707 715 808 805 791 798 710 567 473 374 348 346 354 439 536 459 537 674 769 742 659 620 575
776 714 643 643 673 772 822 755 664 556 470 386 354 345 349 367 456 421 497 604 624 588 549 553 570
739 703 602 606 640 746 811 706 654 601 526 442 367 354 353 344 353 356 371 391 435 479 488 503 512
583 635 585 579 622 705 778 729 654 669 587 511 393 364 361 352 346 344 352 350 360 395 439 469 449
543 543 543 559 636 661 755 749 657 634 636 560 428 371 372 362 346 347 358 358 359 366 389 408 407
589 594 560 530 649 666 662 697 647 599 593 608 514 388 374 368 347 342 354 358 357 359 370 432 411
625 637 571 501 629 666 577 626 601 587 532 622 601 419 375 377 374 357 344 353 358 358 362 377 373
659 695 571 485 490 540 524 531 584 529 498 580 553 441 379 372 368 364 340 349 355 364 361 361 364
719 704 591 525 473 465 473 488 508 495 484 542 484 437 418 403 368 356 341 340 349 349 359 355 358
